,Population,Stock,Stock per capita,Stock change,Inflow,Outflow,Stock AB,Stock MFH,Stock SFH,Stock TH
1799,8363388.153317495,1742512.5253331386,0.20835007217044427,14434.634945191443,,,0.0,165099.95363691606,29497.87961341487,1547914.6920828077
1800,8490621.908278976,1757227.5714912256,0.20696099655289096,14715.046158086974,,,0.0,165872.92303204912,30345.983024639994,1561008.6654345365
1801,8619467.173186347,1772228.2455740306,0.20560763327542128,15000.674082804937,,,0.0,166683.00011942047,31231.3033827877,1574313.9420718225
1802,8749934.476669185,1787519.8521212877,0.2042895128972141,15291.606547257164,,,0.0,167530.91570573067,32154.809851664006,1587834.1265638932
1803,8882034.106693286,1803107.7846059091,0.20300617661973744,15587.932484621415,,,0.0,168417.42238848502,33117.50318556068,1601572.8590318635
1804,9015776.09966661,1818997.5265371604,0.20175717613533284,15889.74193125125,,,0.0,169343.29515281477,34120.4166106258,1615533.81477372
1805,9151170.229408532,1835194.6525608823,0.2005420734785628,16197.126023721881,,,0.0,170309.331982329,35164.61672655591,1629720.7038519974
1806,9288225.995988969,1851704.8295558402,0.19936044088025864,16510.17699495796,,,0.0,171316.35448410103,36251.20442904205,1644137.270642697
1807,9426952.614444474,1868533.817725253,0.198211860624205,16828.988169412827,,,0.0,172365.20852809207,37381.315853081374,1658787.2933440795
1808,9567359.00337873,1885687.4716824943,0.19709592490639896,17153.653957241215,,,0.0,173456.7649011636,38556.1233376676,1673674.583443663
1809,9709453.773455398,1903171.7415299297,0.19601223569682122,17484.26984743541,,,0.0,174591.91997592524,39776.83641195808,1688802.9851420464
1810,9853245.21579167,1920992.6739297886,0.19496040460365668,17820.932399858953,,,0.0,175771.59639461606,41044.702803341745,1704176.3747318308
1811,9998741.290261405,1939156.4131659386,0.1939400527399026,18163.739236149937,,,0.0,176996.7437682097,42361.00946757048,1719798.6599301584
1812,10145949.61371708,1957669.2021953613,0.19295081059230176,18512.78902942268,,,0.0,178268.33939096873,43727.083641334546,1735673.7791630581
1813,10294877.448140359,1976537.3836880964,0.1919923178925392,18868.181492735166,,,0.0,179587.38897058932,45144.29391743926,1751805.7008000677
1814,10445531.688731484,1995767.401054353,0.19106422349063984,19230.017366256565,,,0.0,180954.92737420523,46614.05134290748,1768198.4223372403
1815,10597918.851948136,2015365.7994574388,0.1901661852305058,19598.39840308577,,,0.0,182372.01939039305,48137.81054024241,1784855.9695268034
1816,10752045.063504975,2035339.2268111059,0.1892978698275304,19973.427353667095,,,0.0,183839.76050728114,49717.070852055054,1801782.3954517697
1817,10907916.046345407,2055694.4347598436,0.1884589527482277,20355.207948737778,,,0.0,185359.27770708853,51353.37750927668,1818981.7795434785
1818,11065537.108597685,2076438.2796406052,0.18764911809181475,20743.84488076158,,,0.0,186931.73027711042,53048.322823228016,1836458.2265402668
1819,11224913.131527849,2097577.7234243765,0.18686805847368462,21139.443783771247,,,0.0,188558.31063741582,54803.54740164925,1854215.8653853112
1820,11386048.557502499,2119119.8346359567,0.18611547491070776,21542.111211580224,,,0.0,190240.24518527676,56620.74138894113,1872258.8480617388
1821,11548947.377974806,2141071.7892502323,0.18539107670829869,21951.9546142756,,,0.0,191978.79515660083,58501.64573078033,1890591.3483628512
1822,11713613.121507643,2163440.871563184,0.18469458134918584,22369.082312951796,,,0.0,193775.25750437344,60448.05346319551,1909217.560595615
1823,11880048.8418481,2186234.475035781,0.18402571438382093,22793.603472596966,,,0.0,195630.96579432636,62461.81102633175,1928141.6982151228
1824,12048257.106068125,2209460.1031088666,0.18338420932236482,23225.628073085565,,,0.0,197547.29111783416,64544.81960291425,1947367.992388118
1825,12218239.98278638,2233125.3699870612,0.18276980752818667,23665.26687819464,,,0.0,199525.6430222052,66699.03648161303,1966900.690483243
1826,12389999.03048686,2257238.001389636,0.18218225811281108,24112.631402574945,,,0.0,201567.47045835364,68926.47644525861,1986744.054486024
1827,12563535.285950102,2281805.8352662507,0.18162131783225155,24567.83387661446,,,0.0,203674.26274606067,71229.21318408586,2006902.3593361042
1828,12738849.252813336,2306836.8224753574,0.18108675098466212,25030.987209106795,,,0.0,205847.55055665804,73609.3807339119,2027379.8911847875
1829,12915940.890276091,2332339.0274230316,0.18057832930924597,25502.20494767418,,,0.0,208088.90691338794,76069.17493931741,2048180.9455703262
1830,13094809.60196823,2358320.628659868,0.18009583188635275,25981.60123683652,,,0.0,210399.94820922468,78610.85494180459,2069309.825508839
1831,13275454.224997656,2384789.919433554,0.17963904503869998,26469.29077368602,,,0.0,212782.3352423438,81236.74469283619,2090770.8394983741
1832,13457873.019195175,2411755.3081946126,0.17920776223365226,26965.38876105845,,,0.0,215237.77426907598,83949.23449165998,2112568.2994338768
1833,13642063.656574313,2439225.319052765,0.17880178398649138,27470.010858152527,,,0.0,217768.01807437648,86750.78254788274,2134706.518430506
1834,13828023.211024119,2467208.5921812537,0.17842091776461008,27983.273128488567,,,0.0,220374.86705965127,89643.91656847828,2157189.8085531243
1835,14015748.14825313,2495713.8841664,0.17806497789256126,28505.291985146236,,,0.0,223060.17034790514,92631.23536928052,2180022.4784492142
1836,14205234.316002924,2524750.0682996027,0.17773378545789578,29036.18413320277,,,0.0,225825.82690613336,95715.41051045111,2203208.830883018
1837,14396476.934549788,2554326.134808865,0.17742716821771817,29576.066509262193,,,0.0,228673.78668468664,98899.18795587542,2226753.1601683027
1838,14589470.587513203,2584451.1910269037,0.1771449605058923,30125.05621803878,,,0.0,231606.05177351556,102185.3897560496,2250659.7494973387
1839,14784209.212989783,2615134.4614927615,0.17688700314082662,30683.270465857815,,,0.0,234624.67757511177,105576.9157542453,2274932.8681634045
1840,14980686.095031608,2646385.2879838077,0.17665314333376825,31250.82649104623,,,0.0,237731.7739937707,109076.74531530219,2299576.768674735
1841,15178893.855487589,2678213.129474889,0.17644323459753564,31827.841491081286,,,0.0,240929.5066411963,112687.93907691434,2324595.6837567785
1842,15378824.446226783,2710627.562021339,0.1762571366556171,32414.432546449825,,,0.0,244220.0980578059,116413.64072268596,2349993.823240847
1843,15580469.141762223,2743638.278562443,0.17609471535156385,33010.71654110402,,,0.0,247605.82894960634,120257.07877651774,2375775.370836319
1844,15783818.532293996,2777255.0886419127,0.1759558425586049,33616.81007946981,,,0.0,251089.03944028539,124221.56841762108,2401944.480784006
1845,15988862.517189909,2811487.9180417918,0.17584039608940982,34232.82939987909,,,0.0,254672.1303380012,128310.51331567689,2428505.274388114
1846,16195590.298922084,2846346.8083261643,0.17574825960592533,34858.89028437249,,,0.0,258357.5644164985,132527.40748525492,2455461.836424411
1847,16403990.37747745,2881841.9162909654,0.17567932252921287,35495.10796480114,,,0.0,262147.8677100634,136875.83715877554,2482818.2114221263
