time,TOT,AB,MFH,SFH,TH
1751,3149.8024114364043,0.0,239.57862933304312,450.2885347155825,2459.935247387778
1752,3195.245145534154,0.0,241.85708012449413,453.0733815743929,2500.3146838352673
1753,3240.779521376292,0.0,244.12113988988725,455.8126288214344,2540.845752664971
1754,3286.4102000030525,0.0,246.3712619711491,458.50757667650726,2581.5313613553963
1755,3332.142819023632,0.0,248.60795168760026,461.159598787172,2622.3752685488594
1756,3377.9839917440363,0.0,250.83176514021875,463.7701392369419,2663.3820873668756
1757,3423.941303678734,0.0,253.04330792835154,466.34070957125704,2704.557286179126
1758,3470.0232439525635,0.0,255.24323044004728,468.8728812984008,2745.9071322141153
1759,3516.239133003873,0.0,257.43222310741487,471.36827861479463,2787.438631281664
1760,3562.599118755569,0.0,259.6110154444559,473.82857649326974,2829.1595268178435
1761,3609.1141760642695,0.0,261.7803753078683,476.25549919307605,2871.078301563325
1762,3655.7961061907504,0.0,263.9411082045577,478.6508189484066,2913.204179037786
1763,3702.657536302039,0.0,266.09405664648267,481.0163548358238,2955.5471248197327
1764,3749.711919004972,0.0,268.24009955290427,483.35397182017255,2998.117847631895
1765,3796.9735319110728,0.0,270.3801517001107,485.66557997858575,3040.927800232376
1766,3844.4574772324477,0.0,272.5151632187019,487.95313390217876,3083.989180111567
1767,3892.179663020927,0.0,274.64611820395805,490.2186310576659,3127.3149137593027
1768,3940.156610037409,0.0,276.7740245821266,492.46409894918895,3170.9184865060934
1769,3988.4053369895655,0.0,278.8999082195334,494.6915881350959,3214.813840634936
1770,4036.943359274305,0.0,281.0248128942919,496.9031730193389,3259.0153733606744
1771,4085.788688933354,0.0,283.14980035863476,499.1009528277425,3303.5379357469765
1772,4134.959834621376,0.0,285.27595043074353,501.2870526889344,3348.3968315016987
1773,4184.475801591182,0.0,287.404361116435,503.4636248200333,3393.6078156547132
1774,4234.356091695906,0.0,289.53614876083566,505.63284981690106,3439.1870931181693
1775,4284.620703407926,0.0,291.6724482301657,507.7969380487523,3485.1513171290085
1776,4335.290131854412,0.0,293.81441312377603,509.95813115692715,3531.5175875737095
1777,4386.385321449256,0.0,295.9632137233354,512.118700774668,3578.303406951252
1778,4437.927419476724,0.0,298.1200254402341,514.2809354334556,3625.526458603035
1779,4489.937697130981,0.0,300.2860255772557,516.4471381015175,3673.204533452207
1780,4542.437549993027,0.0,302.46239397678625,518.6196286472962,3721.355527368945
1781,4595.448498306354,0.0,304.65031366888957,520.8007463142171,3769.997438323247
1782,4648.992187254581,0.0,306.85097152930416,522.9928522193267,3819.1483635059494
1783,4703.090387241161,0.0,309.06555894748413,525.1983318757935,3868.826496417883
1784,4757.764994171047,0.0,311.29527250480686,527.4195977392617,3919.0501239269784
1785,4813.038029734234,0.0,313.5413146630666,529.6590917780559,3969.8376232931114
1786,4868.931641577466,0.0,315.8048944580816,531.919288060664,4021.207459058719
1787,4925.468030041594,0.0,318.0872247932842,534.2026911445321,4073.1781141037773
1788,4982.669248531235,0.0,320.38951395460214,536.5118273282485,4125.767907248385
1789,5040.557170771779,0.0,322.71296498565704,538.8492456337724,4178.99496015235
1790,5099.153491290203,0.0,325.05877661085634,541.2175206750204,4232.877194004326
1791,5158.479725783696,0.0,327.42814414707976,543.619255479991,4287.432326156625
1792,5218.557211479335,0.0,329.82226040885877,546.0570842725317,4342.677866797945
1793,5279.407107484791,0.0,332.24231660712036,548.5336752138919,4398.6311156637785
1794,5341.050395130119,0.0,334.689503241556,551.0517331041706,4455.309158784392
1795,5403.507878300621,0.0,337.16501098668095,553.6140020437956,4512.728865270145
1796,5466.8001824304165,0.0,339.67003151152437,556.2232679802263,4570.906882938665
1797,5530.947682682933,0.0,342.20575510171335,558.8823572292945,4629.859570351927
1798,5595.970396833306,0.0,344.77336672597846,561.5941329729161,4689.602897134412
1799,5661.887977131348,0.0,347.37404658845634,564.3614972680516,4750.15243327484
1800,5728.719710637412,0.0,350.0089710485035,567.1873934554915,4811.523346133417
1801,5796.484519516655,0.0,352.6793135222754,570.0748084887385,4873.730397505641
1802,5865.2009613187365,0.0,355.38624536729145,573.0267751846983,4936.787940766747
1803,5934.887229243041,0.0,358.1309367499836,576.0463743963581,5000.709918096699
1804,6005.561152389457,0.0,360.9145574962226,579.1367371076643,5065.509857785571
1805,6077.240195994901,0.0,363.73827792480995,582.3010464507581,5131.200871619333
1806,6149.941459418801,0.0,366.603269564732,585.5425395183557,5197.795650335714
1807,6223.681637774313,0.0,369.5107042464068,588.8645070202866,5265.306426507619
1808,6298.476989674709,0.0,372.4617534561143,592.2702931759242,5333.744943042671
1809,6374.343336491123,0.0,375.45758907122536,595.7632973006984,5403.1224501192
1810,6451.295511205264,0.0,378.4993458149456,599.3469554243901,5473.449209965928
1811,6529.344541041863,0.0,381.58792670427954,603.0246389589913,5544.731975378592
1812,6608.500321019136,0.0,384.72419008168725,606.7997509917627,5616.976379945685
