DSM,SFH,MFH,TH,AB
1694,0.11264858303833322,0.16883781897006567,0.7185135979916011,0.0
1695,0.11120623839499338,0.16748175638379698,0.7213120052212096,0.0
1696,0.10977818919905627,0.1661365685806844,0.7240852422202593,0.0
1697,0.10836443018482833,0.16480225060340714,0.7268333192117645,0.0
1698,0.1069649561916768,0.1634787975745569,0.7295562462337662,0.0
1699,0.10557976216397401,0.16216620469660112,0.7322540331394248,0.0
1700,0.1042088431510441,0.16086446725178258,0.7349266895971733,0.0
1701,0.10285219430707668,0.15957358060210866,0.7375742250908146,0.0
1702,0.10150981089111252,0.1582935401892734,0.740196648919614,0.0
1703,0.10018168826694755,0.1570243415345984,0.7427939701984541,0.0
1704,0.09886782190309827,0.155765980238996,0.7453661978579057,0.0
1705,0.09756820737276367,0.15451845198290573,0.7479133406443306,0.0
1706,0.09628284035374131,0.15328175252625909,0.7504354071199996,0.0
1707,0.0950117166284191,0.15205587770841753,0.7529324056631633,0.0
1708,0.09375483208369197,0.15084082344812869,0.7554043444681794,0.0
1709,0.09251218271095242,0.1496365857434994,0.7578512315455482,0.0
1710,0.09128376460602514,0.148443160671924,0.7602730747220509,0.0
1711,0.09006957396913719,0.14726054439006397,0.7626698816407989,0.0
1712,0.0888696071048844,0.1460887331337968,0.7650416597613188,0.0
1713,0.08768386042218035,0.14492772321818317,0.7673884163596365,0.0
1714,0.08651233043423716,0.1437775110374262,0.7697101585283367,0.0
1715,0.08535501375853065,0.14263809306482716,0.7720068931766422,0.0
1716,0.08421190711676069,0.14150946585278035,0.7742786270304589,0.0
1717,0.08308300733483512,0.14039162603269062,0.7765253666324743,0.0
1718,0.08196831134283848,0.13928457031499922,0.7787471183421623,0.0
1719,0.08086781617499984,0.13818829548909786,0.7809438883359023,0.0
1720,0.0797815189696939,0.1371027984233417,0.7831156826069644,0.0
1721,0.07870941696938216,0.13602807606500747,0.7852625069656104,0.0
1722,0.0776515075206399,0.13496412544025746,0.7873843670391026,0.0
1723,0.07660778807409316,0.1339109436541311,0.7894812682717758,0.0
1724,0.07557825618444523,0.13286852789051024,0.7915532159250446,0.0
1725,0.07456290951042914,0.13183687541210537,0.7936002150774655,0.0
1726,0.07356174581483194,0.13081598356043245,0.7956222706247356,0.0
1727,0.07257476296444486,0.1298058497557861,0.797619387279769,0.0
1728,0.07160195893009423,0.1288064714972465,0.7995915695726593,0.0
1729,0.07064333178661174,0.12781784636262858,0.8015388218507596,0.0
1730,0.06969887971283466,0.12683997200849859,0.8034611482786668,0.0
1731,0.06876860099161833,0.1258728461701485,0.8053585528382332,0.0
1732,0.06785249400981942,0.12491646666157681,0.8072310393286037,0.0
1733,0.06695055725831076,0.12397083137549374,0.8090786113661955,0.0
1734,0.06606278933197106,0.12303593828330059,0.8109012723847283,0.0
1735,0.06518918892971567,0.12211178543509042,0.8126990256351939,0.0
1736,0.06432975485447136,0.12119837095963745,0.8144718741858912,0.0
1737,0.06348448601322303,0.1202956930643942,0.8162198209223828,0.0
1738,0.0626533814169834,0.11940375003549725,0.8179428685475194,0.0
1739,0.061836440180858376,0.11852254023774071,0.8196410195814009,0.0
1740,0.0610336615240136,0.11765206211461322,0.8213142763613732,0.0
1741,0.06024504476972095,0.11679231418826336,0.8229626410420157,0.0
1742,0.05947058934537322,0.11594329505952743,0.8245861155950993,0.0
